,start station id,start station name,start station latitude,start station longitude
42,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
42,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
42,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
43,3203,Hamilton Park,40.727595965999996,-74.044247311
43,3203,Hamilton Park,40.727595965999996,-74.044247311
43,3203,Hamilton Park,40.727595965999996,-74.044247311
44,3203,Hamilton Park,40.727595965999996,-74.044247311
44,3203,Hamilton Park,40.727595965999996,-74.044247311
44,3203,Hamilton Park,40.727595965999996,-74.044247311
45,3639,Harborside,40.71925170000001,-74.034234
45,3639,Harborside,40.71925170000001,-74.034234
45,3639,Harborside,40.71925170000001,-74.034234
46,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
46,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
46,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
47,3205,JC Medical Center,40.71653978099194,-74.0496379137039
47,3205,JC Medical Center,40.71653978099194,-74.0496379137039
47,3205,JC Medical Center,40.71653978099194,-74.0496379137039
48,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
48,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
48,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
49,3187,Warren St,40.721123600000006,-74.03805095
49,3187,Warren St,40.721123600000006,-74.03805095
49,3187,Warren St,40.721123600000006,-74.03805095
50,3185,City Hall,40.717732500000004,-74.04384499999999
50,3185,City Hall,40.717732500000004,-74.04384499999999
50,3185,City Hall,40.717732500000004,-74.04384499999999
51,3639,Harborside,40.71925170000001,-74.034234
51,3639,Harborside,40.71925170000001,-74.034234
51,3639,Harborside,40.71925170000001,-74.034234
52,3268,Lafayette Park,40.71346382669195,-74.06285852193831
52,3268,Lafayette Park,40.71346382669195,-74.06285852193831
52,3268,Lafayette Park,40.71346382669195,-74.06285852193831
53,3639,Harborside,40.71925170000001,-74.034234
53,3639,Harborside,40.71925170000001,-74.034234
53,3639,Harborside,40.71925170000001,-74.034234
54,3203,Hamilton Park,40.727595965999996,-74.044247311
54,3203,Hamilton Park,40.727595965999996,-74.044247311
54,3203,Hamilton Park,40.727595965999996,-74.044247311
55,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
55,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
55,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
56,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
56,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
56,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
57,3186,Grove St PATH,40.71958611647166,-74.0431174635887
57,3186,Grove St PATH,40.71958611647166,-74.0431174635887
57,3186,Grove St PATH,40.71958611647166,-74.0431174635887
58,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
58,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
58,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
59,3639,Harborside,40.71925170000001,-74.034234
59,3639,Harborside,40.71925170000001,-74.034234
59,3639,Harborside,40.71925170000001,-74.034234
60,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
60,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
60,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
61,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
61,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
61,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
62,3186,Grove St PATH,40.71958611647166,-74.0431174635887
62,3186,Grove St PATH,40.71958611647166,-74.0431174635887
62,3186,Grove St PATH,40.71958611647166,-74.0431174635887
63,3195,Sip Ave,40.73089709786179,-74.06391263008119
63,3195,Sip Ave,40.73089709786179,-74.06391263008119
63,3195,Sip Ave,40.73089709786179,-74.06391263008119
64,3205,JC Medical Center,40.71653978099194,-74.0496379137039
64,3205,JC Medical Center,40.71653978099194,-74.0496379137039
64,3205,JC Medical Center,40.71653978099194,-74.0496379137039
65,3207,Oakland Ave,40.7376037,-74.05247829999999
65,3207,Oakland Ave,40.7376037,-74.05247829999999
65,3207,Oakland Ave,40.7376037,-74.05247829999999
66,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744
66,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744
66,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744
67,3209,Brunswick St,40.7241765,-74.05065640000001
