,end station id,end station name,end station latitude,end station longitude
12837,3184,Paulus Hook,40.7141454,-74.0335519
12837,3184,Paulus Hook,40.7141454,-74.0335519
12837,3184,Paulus Hook,40.7141454,-74.0335519
12838,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12838,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12838,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12839,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12839,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12839,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12840,3639,Harborside,40.71925170000001,-74.034234
12840,3639,Harborside,40.71925170000001,-74.034234
12840,3639,Harborside,40.71925170000001,-74.034234
12841,3638,Washington St,40.7242941,-74.0354826
12841,3638,Washington St,40.7242941,-74.0354826
12841,3638,Washington St,40.7242941,-74.0354826
12842,3679,Bergen Ave,40.72210378668603,-74.07145500183104
12842,3679,Bergen Ave,40.72210378668603,-74.07145500183104
12842,3679,Bergen Ave,40.72210378668603,-74.07145500183104
12843,3185,City Hall,40.717732500000004,-74.04384499999999
12843,3185,City Hall,40.717732500000004,-74.04384499999999
12843,3185,City Hall,40.717732500000004,-74.04384499999999
12844,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606
12844,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606
12844,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606
12845,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12845,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12845,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12846,3195,Sip Ave,40.73089709786179,-74.06391263008119
12846,3195,Sip Ave,40.73089709786179,-74.06391263008119
12846,3195,Sip Ave,40.73089709786179,-74.06391263008119
12847,3203,Hamilton Park,40.727595965999996,-74.044247311
12847,3203,Hamilton Park,40.727595965999996,-74.044247311
12847,3203,Hamilton Park,40.727595965999996,-74.044247311
12848,3273,Manila & 1st,40.72165072487999,-74.04288411140442
12848,3273,Manila & 1st,40.72165072487999,-74.04288411140442
12848,3273,Manila & 1st,40.72165072487999,-74.04288411140442
12849,3194,McGinley Square,40.7253399253558,-74.06762212514876
12849,3194,McGinley Square,40.7253399253558,-74.06762212514876
12849,3194,McGinley Square,40.7253399253558,-74.06762212514876
12850,3214,Essex Light Rail,40.712774200000005,-74.03648570000001
12850,3214,Essex Light Rail,40.712774200000005,-74.03648570000001
12850,3214,Essex Light Rail,40.712774200000005,-74.03648570000001
12851,3187,Warren St,40.721123600000006,-74.03805095
12851,3187,Warren St,40.721123600000006,-74.03805095
12851,3187,Warren St,40.721123600000006,-74.03805095
12852,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12852,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12852,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12853,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12853,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12853,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12854,3207,Oakland Ave,40.7376037,-74.05247829999999
12854,3207,Oakland Ave,40.7376037,-74.05247829999999
12854,3207,Oakland Ave,40.7376037,-74.05247829999999
12855,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12855,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12855,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12856,3195,Sip Ave,40.73089709786179,-74.06391263008119
12856,3195,Sip Ave,40.73089709786179,-74.06391263008119
12856,3195,Sip Ave,40.73089709786179,-74.06391263008119
12857,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12857,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12857,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12858,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12858,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12858,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12859,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12859,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12859,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12860,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12860,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12860,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12861,3638,Washington St,40.7242941,-74.0354826
12861,3638,Washington St,40.7242941,-74.0354826
12861,3638,Washington St,40.7242941,-74.0354826
12862,3203,Hamilton Park,40.727595965999996,-74.044247311
12862,3203,Hamilton Park,40.727595965999996,-74.044247311
12862,3203,Hamilton Park,40.727595965999996,-74.044247311
12863,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12863,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12863,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12864,3280,Astor Place,40.71928220070703,-74.07126188278198
12864,3280,Astor Place,40.71928220070703,-74.07126188278198
12864,3280,Astor Place,40.71928220070703,-74.07126188278198
12865,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281
12865,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281
12865,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281
12866,3267,Morris Canal,40.7124188237569,-74.03852552175522
12866,3267,Morris Canal,40.7124188237569,-74.03852552175522
12866,3267,Morris Canal,40.7124188237569,-74.03852552175522
12867,3203,Hamilton Park,40.727595965999996,-74.044247311
12867,3203,Hamilton Park,40.727595965999996,-74.044247311
12867,3203,Hamilton Park,40.727595965999996,-74.044247311
12868,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12868,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12868,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12869,3280,Astor Place,40.71928220070703,-74.07126188278198
12869,3280,Astor Place,40.71928220070703,-74.07126188278198
12869,3280,Astor Place,40.71928220070703,-74.07126188278198
12870,3639,Harborside,40.71925170000001,-74.034234
12870,3639,Harborside,40.71925170000001,-74.034234
12870,3639,Harborside,40.71925170000001,-74.034234
12871,3205,JC Medical Center,40.71653978099194,-74.0496379137039
12871,3205,JC Medical Center,40.71653978099194,-74.0496379137039
12871,3205,JC Medical Center,40.71653978099194,-74.0496379137039
12872,3275,Columbus Drive,40.71835519823214,-74.03891444206238
12872,3275,Columbus Drive,40.71835519823214,-74.03891444206238
12872,3275,Columbus Drive,40.71835519823214,-74.03891444206238
12873,3210,Pershing Field,40.742677141,-74.051788633
12873,3210,Pershing Field,40.742677141,-74.051788633
12873,3210,Pershing Field,40.742677141,-74.051788633
12874,3209,Brunswick St,40.7241765,-74.05065640000001
12874,3209,Brunswick St,40.7241765,-74.05065640000001
12874,3209,Brunswick St,40.7241765,-74.05065640000001
12875,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12875,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12875,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12876,3194,McGinley Square,40.7253399253558,-74.06762212514876
12876,3194,McGinley Square,40.7253399253558,-74.06762212514876
12876,3194,McGinley Square,40.7253399253558,-74.06762212514876
12877,3267,Morris Canal,40.7124188237569,-74.03852552175522
12877,3267,Morris Canal,40.7124188237569,-74.03852552175522
12877,3267,Morris Canal,40.7124188237569,-74.03852552175522
12878,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12878,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12878,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12879,3184,Paulus Hook,40.7141454,-74.0335519
12879,3184,Paulus Hook,40.7141454,-74.0335519
12879,3184,Paulus Hook,40.7141454,-74.0335519
